prev_close,open,bid,ask,client_timestamp,pair
0.9319,0.9323,0.933,0.9335,1685374936382,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685376161143,"USDEUR"
0.9319,0.9323,0.9333,0.9338,1685377611281,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685378532720,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685379733616,"USDEUR"
0.9319,0.9323,0.9331,0.9336,1685381026324,"USDEUR"
0.9319,0.9323,0.9332,0.9337,1685382144521,"USDEUR"
0.9319,0.9323,0.933,0.9335,1685383349016,"USDEUR"
0.9319,0.9323,0.9333,0.9338,1685384720031,"USDEUR"
0.9319,0.9323,0.9333,0.9338,1685385737085,"USDEUR"
0.9319,0.9323,0.9334,0.9339,1685386934792,"USDEUR"
0.9319,0.9323,0.9334,0.9339,1685388123085,"USDEUR"
0.9319,0.9323,0.9334,0.9339,1685389313094,"USDEUR"
0.9319,0.9323,0.9333,0.9338,1685390579693,"USDEUR"
0.9319,0.9323,0.9337,0.9342,1685391809235,"USDEUR"
0.9319,0.9323,0.9336,0.9341,1685392921993,"USDEUR"
0.9319,0.9323,0.9336,0.9341,1685394170017,"USDEUR"
0.9319,0.9323,0.9333,0.9338,1685395320316,"USDEUR"
0.9319,0.9323,0.9335,0.934,1685396515683,"USDEUR"
0.9319,0.9334,0.9334,0.9339,1685397742638,"USDEUR"
0.9319,0.9334,0.9334,0.9339,1685399057444,"USDEUR"
0.9319,0.9334,0.9334,0.9339,1685400113586,"USDEUR"
0.9319,0.9334,0.9335,0.934,1685401365518,"USDEUR"
0.9336,0.9334,0.9336,0.9341,1685402564129,"USDEUR"
0.9336,0.9334,0.9337,0.9342,1685403717023,"USDEUR"
0.9336,0.9334,0.9332,0.9337,1685405152802,"USDEUR"
0.9336,0.9334,0.9329,0.9334,1685406812621,"USDEUR"
0.9336,0.9334,0.933,0.9335,1685408459311,"USDEUR"
0.9336,0.9334,0.9322,0.9327,1685410576680,"USDEUR"
0.9336,0.9334,0.9322,0.9327,1685412255472,"USDEUR"
0.9336,0.9334,0.9325,0.933,1685413988927,"USDEUR"
0.9336,0.9334,0.9325,0.933,1685414817039,"USDEUR"
0.9336,0.9334,0.9325,0.933,1685415742968,"USDEUR"
0.9336,0.9334,0.933,0.9335,1685417021764,"USDEUR"
0.9336,0.9334,0.934,0.9345,1685418131641,"USDEUR"
0.9336,0.9334,0.9338,0.9343,1685419371720,"USDEUR"
0.9336,0.9334,0.9336,0.9341,1685420732381,"USDEUR"
0.9336,0.9334,0.9338,0.9343,1685421715307,"USDEUR"
0.9336,0.9334,0.9338,0.9343,1685422975328,"USDEUR"
0.9336,0.9334,0.9344,0.9349,1685424281390,"USDEUR"
0.9336,0.9334,0.9352,0.9357,1685425332452,"USDEUR"
0.9336,0.9334,0.9353,0.9358,1685426580070,"USDEUR"
0.9336,0.9334,0.9354,0.9359,1685427949259,"USDEUR"
0.9336,0.9334,0.9345,0.935,1685428938138,"USDEUR"
0.9336,0.9334,0.9351,0.9356,1685430143574,"USDEUR"
0.9336,0.9334,0.9355,0.936,1685431330917,"USDEUR"
0.9336,0.9334,0.936,0.9365,1685432538680,"USDEUR"
0.9336,0.9334,0.9352,0.9357,1685433759164,"USDEUR"
0.9336,0.9334,0.9347,0.9352,1685435142484,"USDEUR"
0.9336,0.9334,0.9341,0.9346,1685436130127,"USDEUR"
0.9336,0.9334,0.9341,0.9346,1685437352820,"USDEUR"
0.9336,0.9334,0.9341,0.9346,1685438588880,"USDEUR"
0.9336,0.9334,0.9326,0.9331,1685439738956,"USDEUR"
0.9336,0.9334,0.9322,0.9327,1685440959351,"USDEUR"
0.9336,0.9334,0.9316,0.9321,1685442330387,"USDEUR"
0.9336,0.9334,0.9311,0.9316,1685443348993,"USDEUR"
0.9336,0.9334,0.9313,0.9318,1685444560728,"USDEUR"
0.9336,0.9334,0.9314,0.9319,1685445715271,"USDEUR"
0.9336,0.9334,0.9309,0.9314,1685446922753,"USDEUR"
0.9336,0.9334,0.9305,0.931,1685448182916,"USDEUR"
0.9336,0.9334,0.9313,0.9318,1685450513861,"USDEUR"
0.9336,0.9334,0.9316,0.9321,1685450950655,"USDEUR"
0.9336,0.9334,0.9325,0.933,1685451876398,"USDEUR"
0.9336,0.9334,0.931,0.9315,1685453097738,"USDEUR"
0.9336,0.9334,0.9318,0.9323,1685454132091,"USDEUR"
0.9336,0.9334,0.9323,0.9328,1685455351795,"USDEUR"
0.9336,0.9334,0.9322,0.9327,1685456642609,"USDEUR"
0.9336,0.9334,0.9312,0.9317,1685457716489,"USDEUR"
0.9336,0.9334,0.932,0.9325,1685458955835,"USDEUR"
0.9336,0.9334,0.9326,0.9331,1685460229647,"USDEUR"
0.9336,0.9334,0.9318,0.9323,1685461328175,"USDEUR"
0.9336,0.9334,0.9326,0.9331,1685462565368,"USDEUR"
0.9336,0.9334,0.9319,0.9324,1685463894512,"USDEUR"
0.9336,0.9334,0.9323,0.9328,1685464915526,"USDEUR"
0.9336,0.9334,0.9325,0.933,1685466128257,"USDEUR"
0.9336,0.9334,0.9328,0.9333,1685467450094,"USDEUR"
0.9336,0.9334,0.9328,0.9333,1685468528794,"USDEUR"
0.9336,0.9334,0.9329,0.9334,1685469750317,"USDEUR"
0.9336,0.9334,0.9327,0.9332,1685471139970,"USDEUR"
0.9336,0.9334,0.9327,0.9332,1685472120884,"USDEUR"
0.9336,0.9334,0.9326,0.9331,1685473354443,"USDEUR"
0.9336,0.9334,0.9318,0.9323,1685474550382,"USDEUR"
0.9336,0.9334,0.9315,0.932,1685475717270,"USDEUR"
0.9336,0.9334,0.9316,0.9321,1685476951868,"USDEUR"
0.9336,0.9334,0.9312,0.9317,1685478213114,"USDEUR"
0.9336,0.9334,0.9314,0.9319,1685479320061,"USDEUR"
0.9336,0.9334,0.9311,0.9316,1685480533213,"USDEUR"
0.9336,0.9334,0.9316,0.9321,1685481735073,"USDEUR"
0.9336,0.9334,0.9314,0.9319,1685482925381,"USDEUR"
0.9336,0.9314,0.9314,0.9319,1685484140113,"USDEUR"
0.9336,0.9311,0.9313,0.9318,1685485475542,"USDEUR"
0.9336,0.9311,0.9312,0.9317,1685486537306,"USDEUR"
0.9336,0.9311,0.9314,0.9319,1685487774627,"USDEUR"
0.9312,0.9311,0.9312,0.9317,1685488984389,"USDEUR"
0.9312,0.9311,0.9314,0.9319,1685490120353,"USDEUR"
0.9312,0.9314,0.9316,0.9321,1685491555879,"USDEUR"
0.9312,0.9314,0.9318,0.9323,1685493153387,"USDEUR"
0.9312,0.9314,0.9314,0.9319,1685494916629,"USDEUR"
0.9312,0.9314,0.933,0.9335,1685498236266,"USDEUR"
0.9312,0.9314,0.9333,0.9338,1685500285246,"USDEUR"
0.9312,0.9314,0.9339,0.9344,1685501809256,"USDEUR"
0.9312,0.9314,0.9339,0.9344,1685502447677,"USDEUR"
0.9312,0.9314,0.9346,0.9351,1685503495714,"USDEUR"
0.9312,0.9314,0.9344,0.9349,1685504551074,"USDEUR"
0.9312,0.9314,0.9346,0.9351,1685505757512,"USDEUR"
0.9312,0.9314,0.9342,0.9347,1685507083887,"USDEUR"
0.9312,0.9314,0.9344,0.9349,1685508121935,"USDEUR"
0.9312,0.9314,0.9348,0.9353,1685509347401,"USDEUR"
